,date,avg,rolling_avg,gain,rolling_gain,release_Dates
0,2012-11-01,14134.1,14852.294285714286,3394.62,3300.3799999999997,Call of Duty
1,2012-12-01,14079.39,14921.50857142857,-54.71,-349.0000000000002,No Releases
2,2013-01-01,16164.22,14922.25857142857,2084.83,40.86749999999972,No Releases
3,2013-02-01,17372.73,16060.952857142856,1208.51,1658.3125,No Releases
4,2013-03-01,15959.89,16630.344285714287,-1412.84,456.4475,No Releases
5,2013-04-01,16006.0,17546.505714285715,46.11,481.6525,No Releases
6,2013-05-01,18710.34,18946.16714285714,2704.34,636.53,No Releases
7,2013-06-01,18119.84,20418.47857142857,-590.5,186.77749999999997,No Releases
8,2013-07-01,20492.52,22124.514285714286,2372.68,1133.1574999999998,No Releases
9,2013-08-01,25961.85,24108.01714285714,5469.33,2488.9624999999996,No Releases
10,2013-09-01,27678.91,28119.149999999998,1717.06,2242.1425,No Releases
11,2013-10-01,27902.14,33477.36571428571,223.23,2445.575,Battlefield
12,2013-11-01,29890.52,39091.48714285714,1988.38,2349.5,Call of Duty
13,2013-12-01,46788.27,45403.12714285714,16897.75,5206.605,No Releases
14,2014-01-01,55627.35,52717.64428571429,8839.08,6987.109999999999,No Releases
15,2014-02-01,59791.37,60863.770000000004,4164.01,7972.304999999999,No Releases
16,2014-03-01,70143.33,68617.06999999999,10351.96,10063.199999999999,No Releases
17,2014-04-01,78880.53,77095.60285714285,8737.2,8023.062499999999,No Releases
18,2014-05-01,84925.02,88175.38,6044.49,7324.414999999999,No Releases
19,2014-06-01,84163.62,98352.99571428572,-761.4,6093.062499999999,No Releases
20,2014-07-01,106138.0,107409.33428571429,21974.38,8998.6675,No Releases
21,2014-08-01,133185.79,117187.69714285716,27047.79,13576.314999999999,No Releases
22,2014-09-01,131034.68,131282.62285714288,-2151.11,11527.415,No Releases
23,2014-10-01,133537.7,152697.91714285713,2503.02,12343.52,No Releases
24,2014-11-01,147329.07,171811.72285714286,13791.37,10297.7675,Call of Duty
25,2014-12-01,183589.5,191070.36857142858,36260.43,12600.9275,No Releases
26,2015-01-01,234070.68,214029.52000000002,50481.18,25759.0,No Releases
27,2015-02-01,239934.64,240279.31857142856,5863.96,26599.235,No Releases
28,2015-03-01,267996.31,268397.45285714284,28061.68,30166.8125,Battlefield
29,2015-04-01,291748.74,289246.4357142857,23752.43,27039.8125,No Releases
30,2015-05-01,317286.29,306884.23000000004,25537.55,20803.905,No Releases
31,2015-06-01,344156.01,323451.4714285714,26869.72,26055.344999999998,No Releases
32,2015-07-01,329532.38,336990.0114285714,-14623.63,15384.0175,No Releases
33,2015-08-01,357535.24,346872.45999999996,28002.87,16446.627500000002,No Releases
34,2015-09-01,355905.33,355466.86285714287,-1629.91,9654.762499999999,No Releases
35,2015-10-01,362766.09,358497.5885714286,6860.76,4652.522500000001,No Releases
36,2015-11-01,360925.88,365176.53714285715,-1840.21,7848.3775,Call of Duty
37,2015-12-01,377447.11,368303.92428571434,16521.23,4977.967500000001,No Releases
38,2016-01-01,365371.09,371145.43,-12076.02,2366.4400000000005,No Releases
39,2016-02-01,376285.02,367712.90142857144,10913.93,3379.7325000000005,No Releases
40,2016-03-01,379426.95,363910.78428571427,3141.92,4625.265000000001,No Releases
41,2016-04-01,375795.87,360529.42,-3631.08,-412.8124999999991,No Releases
42,2016-05-01,338738.39,357937.72857142857,-37057.47,-6658.174999999999,OverWatch
43,2016-06-01,334311.06,350257.85285714286,-4427.34,-10493.4925,No Releases
44,2016-07-01,353777.56,343636.3542857143,19466.5,-6412.347499999999,No Releases
45,2016-08-01,347229.25,336957.6957142857,-6548.31,-7141.655,No Releases
46,2016-09-01,322525.89,337451.5971428571,-24703.36,-4053.1274999999996,No Releases
47,2016-10-01,333076.46,345851.37857142865,10550.57,-308.64999999999964,Battlefield
48,2016-11-01,329045.26,352795.4,-4031.2,-6183.075,Call of Duty
49,2016-12-01,342195.7,358463.8957142857,13150.44,-1258.387499999999,No Releases
50,2017-01-01,393109.53,368417.22428571427,50913.83,17645.910000000003,No Releases
51,2017-02-01,402385.71,373953.35000000003,9276.18,17327.3125,No Releases
52,2017-03-01,386908.72,380430.8900000001,-15476.99,14465.865000000002,No Releases
53,2017-04-01,392199.19,385487.08142857143,5290.47,12500.872500000001,No Releases
54,2017-05-01,371829.34,382817.9614285715,-20369.85,-5320.0475,No Releases
55,2017-06-01,374388.04,375963.15857142856,2558.7,-6999.4175,No Releases
56,2017-07-01,377589.04,369527.8071428571,3201.0,-2329.92,No Releases
57,2017-08-01,374425.69,359375.2657142858,-3163.35,-4443.375,No Releases
58,2017-09-01,354402.09,354953.4857142857,-20023.6,-4356.8125,No Releases
59,2017-10-01,341861.26,356045.27,-12540.83,-8131.695,No Releases
60,2017-11-01,321131.4,356740.7071428572,-20729.86,-14114.41,Call of Duty
61,2017-12-01,340876.88,353861.37,19745.48,-8387.2025,No Releases
62,2018-01-01,382030.53,344529.17142857146,41153.65,6907.11,No Releases
63,2018-02-01,382457.1,333144.83142857143,426.57,10148.96,No Releases
64,2018-03-01,354270.33,325392.0942857143,-28186.77,8284.732499999998,No Releases
65,2018-04-01,289076.7,315739.29142857145,-65193.64,-12950.0475,No Releases
66,2018-05-01,262170.88,301667.97428571427,-26905.82,-29964.915,No Releases
67,2018-06-01,266862.24,294626.10142857145,4691.36,-28898.717500000002,No Releases
68,2018-07-01,273307.26,290574.3142857143,6445.02,-20240.77,No Releases
69,2018-08-01,283531.31,293575.56142857147,10224.05,-1386.3474999999999,No Releases
70,2018-09-01,333163.99,312623.90142857144,49632.68,17748.2775,No Releases
71,2018-10-01,325907.82,331838.84857142856,-7256.17,14761.395,Call of Duty
72,2018-11-01,310085.43,345846.2342857143,-15822.39,9194.542500000001,Battlefield
73,2018-12-01,395509.26,361090.3557142857,85423.83,27994.487500000003,No Releases
74,2019-01-01,401366.87,363779.77428571426,5857.61,17050.719999999998,No Releases
75,2019-02-01,371358.96,369281.12999999995,-30007.91,11362.785,No Releases
76,2019-03-01,390240.16,380608.4571428572,18881.2,20038.6825,No Releases
