,date,Avg_players,Gain_players,Peak_viewers,Avg_viewers,Tournament
0,2021-02-01,741013.24,-2196.42,607485.0,100713.0,No Tournament
1,2021-01-01,743209.66,25405.91,592921.0,81964.0,No Tournament
2,2020-12-01,717803.75,49049.17,387473.0,81772.0,No Tournament
3,2020-11-01,668754.58,55087.89,551755.0,84442.0,No Tournament
4,2020-10-01,613666.69,6816.37,434419.0,78816.0,No Tournament
5,2020-09-01,606850.32,-33107.34,306910.0,74580.0,No Tournament
6,2020-08-01,639957.66,14056.85,313425.0,64930.0,No Tournament
7,2020-07-01,625900.81,-45746.65,197934.0,56396.0,No Tournament
8,2020-06-01,671647.46,-97147.79,499919.0,105704.0,No Tournament
9,2020-05-01,768795.25,-88808.97,380494.0,103346.0,No Tournament
10,2020-04-01,857604.22,186570.94,535624.0,120546.0,Flashpoint 1
11,2020-03-01,671033.29,127054.13,828949.0,89902.0,No Tournament
12,2020-02-01,543979.15,42783.15,614792.0,71649.0,No Tournament
13,2020-01-01,501196.0,44494.44,257488.0,45616.0,No Tournament
14,2019-12-01,456701.56,30620.76,322386.0,54455.0,No Tournament
15,2019-11-01,426080.81,17085.5,299143.0,49522.0,No Tournament
16,2019-10-01,408995.31,-1930.29,381582.0,60249.0,No Tournament
17,2019-09-01,410925.6,-4171.7,659147.0,63988.0,No Tournament
18,2019-08-01,415097.3,21314.48,518564.0,62063.0,No Tournament
19,2019-07-01,393782.83,4406.1,407519.0,54777.0,No Tournament
20,2019-06-01,389376.72,24959.42,348529.0,42086.0,No Tournament
21,2019-05-01,364417.31,12427.39,234864.0,39921.0,No Tournament
22,2019-04-01,351989.92,-38250.24,313013.0,42911.0,No Tournament
23,2019-03-01,390240.16,18881.2,833440.0,47660.0,No Tournament
24,2019-02-01,371358.96,-30007.91,524985.0,70426.0,No Tournament
25,2019-01-01,401366.87,5857.61,187678.0,41424.0,No Tournament
26,2018-12-01,395509.26,85423.83,273822.0,34411.0,No Tournament
27,2018-11-01,310085.43,-15822.39,308216.0,36935.0,No Tournament
28,2018-10-01,325907.82,-7256.17,221263.0,32576.0,No Tournament
29,2018-09-01,333163.99,49632.68,827050.0,98142.0,FACEIT Major London 2018
30,2018-08-01,283531.31,10224.05,187317.0,29203.0,No Tournament
31,2018-07-01,273307.26,6445.02,237413.0,36019.0,No Tournament
32,2018-06-01,266862.24,4691.36,262105.0,30455.0,No Tournament
33,2018-05-01,262170.88,-26905.82,242438.0,35571.0,No Tournament
34,2018-04-01,289076.7,-65193.64,321506.0,31885.0,No Tournament
35,2018-03-01,354270.33,-28186.77,490657.0,37790.0,No Tournament
36,2018-02-01,382457.1,426.57,360635.0,55866.0,No Tournament
37,2018-01-01,382030.53,41153.65,1298358.0,93678.0,ELEAGUE Major 2018
38,2017-12-01,340876.88,19745.48,229676.0,25068.0,No Tournament
39,2017-11-01,321131.4,-20729.86,287276.0,35748.0,No Tournament
40,2017-10-01,341861.26,-12540.83,576773.0,38207.0,No Tournament
41,2017-09-01,354402.09,-20023.6,287694.0,37956.0,No Tournament
42,2017-08-01,374425.69,-3163.35,209561.0,27138.0,No Tournament
43,2017-07-01,377589.04,3201.0,945413.0,91707.0,No Tournament
44,2017-06-01,374388.04,2558.7,284324.0,30360.0,No Tournament
45,2017-05-01,371829.34,-20369.85,194589.0,31446.0,No Tournament
46,2017-04-01,392199.19,5290.47,417435.0,50861.0,No Tournament
47,2017-03-01,386908.72,-15476.99,508269.0,49624.0,No Tournament
48,2017-02-01,402385.71,9276.18,459482.0,60328.0,No Tournament
49,2017-01-01,393109.53,50913.83,1233293.0,97411.0,ELEAGUE Major 2017
50,2016-12-01,342195.7,13150.44,240717.0,41152.0,No Tournament
51,2016-11-01,329045.26,-4031.2,219844.0,45798.0,No Tournament
52,2016-10-01,333076.46,10550.57,336075.0,47707.0,No Tournament
53,2016-09-01,322525.89,-24703.36,305793.0,42783.0,No Tournament
54,2016-08-01,347229.25,-6548.31,152628.0,35333.0,No Tournament
55,2016-07-01,353777.56,19466.5,726674.0,71269.0,No Tournament
56,2016-06-01,334311.06,-4427.34,226858.0,50260.0,No Tournament
57,2016-05-01,338738.39,-37057.47,347527.0,60407.0,No Tournament
58,2016-04-01,375795.87,-3631.08,1059002.0,99754.0,No Tournament
59,2016-03-01,379426.95,3141.92,784934.0,96854.0,No Tournament
60,2016-02-01,376285.02,10913.93,235027.0,64652.0,No Tournament
61,2016-01-01,365371.09,-12076.02,372654.0,64378.0,No Tournament
